class_code,course_code,crn,class_size
ACTG 221 - 01,ACTG 221,01,34
ACTG 240 - 01,ACTG 240,01,63
ACTG 243 - 01,ACTG 243,01,58
ACTG 243 - 02,ACTG 243,02,30
ACTG 360 - 01,ACTG 360,01,30
ACTG 381 - 01,ACTG 381,01,17
ACTG 382 - 01,ACTG 382,01,19
ACTG 498 - 01,ACTG 498,01,8
BUS 101 - E1,BUS 101,E1,95
BUS 214 - 01,BUS 214,01,20
BUS 214 - 02,BUS 214,02,19
BUS 301 - 01,BUS 301,01,56
BUS 301 - 02,BUS 301,02,39
BUS 303 - 01,BUS 303,01,74
BUS 314 - 01,BUS 314,01,63
BUS 314 - HNRS,BUS 314,HNRS,5
BUS 328 - 01,BUS 328,01,70
BUS 328 - 02,BUS 328,02,70
BUS 328 - HNRS,BUS 328,HNRS,5
BUS 332 - 01,BUS 332,01,65
BUS 332 - 02,BUS 332,02,56
BUS 332 - HNRS,BUS 332,HNRS,5
BUS 345 - 01,BUS 345,01,39
BUS 345 - 02,BUS 345,02,31
BUS 357 - 01,BUS 357,01,39
BUS 357 - HNRS,BUS 357,HNRS,5
BUS 359 - 01,BUS 359,01,66
BUS 378 - 01,BUS 378,01,72
BUS 381 - 01,BUS 381,01,11
BUS 381 - HNRS,BUS 381,HNRS,1
BUS 450 - 01,BUS 450,01,72
BUS 496 - 01,BUS 496,01,58
BUS 496 - 02,BUS 496,02,52
COMS 101 - E1,COMS 101,E1,28
COMS 101 - V1,COMS 101,V1,13
DSCI 261 - E1,DSCI 261,E1,12
DSCI 363 - 01,DSCI 363,01,4
DSCI 462 - 01,DSCI 462,01,3
EBS 405 - 01,EBS 405,01,31
ECO 204 - 01,ECO 204,01,34
ECO 204 - 02,ECO 204,02,38
ECO 205 - 01,ECO 205,01,18
ECO 205 - 02,ECO 205,02,38
ECO 352 - 01,ECO 352,01,8
ECON 121 - 01,ECON 121,01,8
ECON 221 - 01,ECON 221,01,8
ECON 222 - 01,ECON 222,01,
