room_id,room_code,building,room_type
1,201.B03,B03,Lecture
2,318.B11,B11,Lecture
3,LAB404.B11,B11,LAB
4,202.B03,B03,Lecture
5,314.B11,B11,Lecture
6,102.B03,B03,Lecture
7,LAB402.B11,B11,LAB
8,202.B10,B10,Lecture
9,LAB100.B06,B06,LAB
10,204.B10,B10,Lecture
11,LAB408.B11,B11,LAB
12,410.B08,B08,Lecture
13,303.B08,B08,Lecture
14,402.B08,B08,Lecture
15,103.B03,B03,Lecture
16,302.B03,B03,Lecture
17,203.B03,B03,Lecture
18,107.B03,B03,Lecture
19,204.B03,B03,Lecture
20,201.B06,B06,Lecture
21,301.B03,B03,Lecture
22,BAMBOO,BAMBOO,Lecture
23,203.B08,B08,Lecture
24,305.B08,B08,Lecture
25,206.B10,B10,Lecture
26,203.B06,B06,Lecture
27,LAB406.B11,B11,LAB
28,207.B08,B08,Lecture
29,408.B08,B08,Lecture
30,210.B10,B10,Lecture
31,220.B10,B10,Lecture
32,208.B10,B10,Lecture
33,301.B08,B08,Lecture
34,404.B08,B08,Lecture
35,316.B11,B11,Lecture
36,406.B08,B08,Lecture
