schedule_id,class_code,instructor_code,room_id,day_pattern,start_time,end_time,session_part,group_size,num_weeks,sessions_per_week,hours_per_session,teaching_hours
1,ACTG 221 - 01,GV_1,1,W,12:30:00,14:30:00,Chiều,34,5,1,2,10
2,ACTG 240 - 01,GV_2,1,MR,09:30:00,11:30:00,Sáng,63,9,2,2,36
3,ACTG 240 - 01,GV_3,2,R,09:30:00,11:30:00,Sáng,32,1,1,2,2
4,ACTG 240 - 01,GV_4,3,M,09:30:00,11:30:00,Sáng,32,1,1,2,2
5,ACTG 243 - 01,GV_5,4,TF,12:30:00,14:30:00,Chiều,58,9,2,2,36
6,ACTG 243 - 01,GV_5,5,TF,12:30:00,14:30:00,Chiều,29,1,2,2,4
7,ACTG 243 - 01,GV_6,2,TF,12:30:00,14:30:00,Chiều,29,1,2,2,4
8,ACTG 243 - 02,GV_6,6,TF,12:30:00,14:30:00,Chiều,30,9,2,2,36
9,ACTG 243 - 02,GV_3,3,T,11:30:00,13:30:00,Chiều,30,1,1,2,2
10,ACTG 243 - 02,GV_4,7,F,11:30:00,13:30:00,Chiều,30,1,1,2,2
11,ACTG 360 - 01,GV_7,6,MR,14:30:00,16:30:00,Chiều,30,9,2,2,36
12,ACTG 360 - 01,GV_7,5,R,14:30:00,16:30:00,Chiều,30,1,1,2,2
13,ACTG 360 - 01,GV_7,3,M,14:30:00,16:30:00,Chiều,30,1,1,2,2
14,ACTG 381 - 01,GV_8,8,MR,12:30:00,14:30:00,Chiều,17,5,2,2,20
15,ACTG 381 - 01,GV_2,8,MR,12:30:00,14:30:00,Chiều,17,4,2,2,16
16,ACTG 381 - 01,GV_8,9,MR,12:30:00,14:30:00,Chiều,17,1,2,2,4
17,ACTG 382 - 01,GV_8,10,TF,12:30:00,14:30:00,Chiều,19,9,2,2,36
18,ACTG 382 - 01,GV_8,11,F,12:30:00,14:30:00,Chiều,19,1,1,2,2
19,ACTG 382 - 01,GV_8,11,T,11:30:00,13:30:00,Chiều,19,1,1,2,2
20,ACTG 498 - 01,GV_8,12,TF,09:30:00,11:30:00,Sáng,8,9,2,2,36
21,ACTG 498 - 01,GV_8,9,TF,10:30:00,12:30:00,Sáng,8,1,2,2,4
22,BUS 101 - E1,GV_5,13,M,12:30:00,14:30:00,Chiều,95,1,1,2,2
23,BUS 101 - E1,GV_9,13,MR,12:30:00,14:30:00,Chiều,95,1,2,2,4
24,BUS 101 - E1,GV_10,13,MR,12:30:00,14:30:00,Chiều,95,1,2,2,4
25,BUS 101 - E1,GV_11,13,MR,12:30:00,14:30:00,Chiều,95,1,2,2,4
26,BUS 101 - E1,GV_12,13,R,12:30:00,14:30:00,Chiều,95,1,1,2,2
27,BUS 101 - E1,GV_13,13,MR,12:30:00,14:30:00,Chiều,95,1,2,2,4
28,BUS 101 - E1,GV_14,13,MR,12:30:00,14:30:00,Chiều,95,1,2,2,4
29,BUS 101 - E1,GV_12,13,M,12:30:00,14:30:00,Chiều,95,1,1,2,2
30,BUS 101 - E1,GV_10,13,M,12:30:00,14:30:00,Chiều,95,1,1,2,2
31,BUS 101 - E1,GV_5,13,R,12:30:00,14:30:00,Chiều,95,1,1,2,2
32,BUS 101 - E1,GV_11,13,R,12:30:00,14:30:00,Chiều,95,1,1,2,2
33,BUS 101 - E1,GV_15,13,MR,12:30:00,14:30:00,Chiều,95,1,2,2,4
34,BUS 101 - E1,GV_15,13,R,12:30:00,14:30:00,Chiều,95,1,1,2,2
35,BUS 101 - E1,GV_9,13,M,12:30:00,14:30:00,Chiều,95,1,1,2,2
36,BUS 214 - 01,GV_16,14,MR,12:30:00,14:30:00,Chiều,20,5,2,2,20
37,BUS 214 - 01,GV_17,14,MR,12:30:00,14:30:00,Chiều,20,5,2,2,20
38,BUS 214 - 02,GV_17,15,MR,07:30:00,09:30:00,Sáng,19,5,2,2,20
39,BUS 214 - 02,GV_18,15,MR,07:30:00,09:30:00,Sáng,19,5,2,2,20
40,BUS 301 - 01,GV_19,1,W,07:30:00,10:30:00,Sáng,56,5,1,3,15
41,BUS 301 - 01,GV_17,1,W,07:30:00,10:30:00,Sáng,56,5,1,3,15
42,BUS 301 - 02,GV_18,4,W,12:30:00,15:30:00,Chiều,39,5,1,3,15
43,BUS 301 - 02,GV_17,4,W,12:30:00,15:30:00,Chiều,39,5,1,3,15
44,BUS 303 - 01,GV_20,16,MR,12:30:00,14:30:00,Chiều,74,5,2,2,20
45,BUS 303 - 01,GV_21,16,MR,12:30:00,14:30:00,Chiều,74,5,2,2,20
46,BUS 314 - 01,GV_22,17,MR,09:30:00,11:30:00,Sáng,63,10,2,2,40
47,BUS 314 - HNRS,GV_12,18,TF,09:30:00,11:30:00,Sáng,5,10,2,2,40
48,BUS 328 - 01,GV_23,4,MR,07:30:00,09:30:00,Sáng,70,10,2,2,40
49,BUS 328 - 02,GV_24,19,TF,07:30:00,09:30:00,Sáng,70,10,2,2,40
50,BUS 328 - HNRS,GV_25,18,TF,12:30:00,14:30:00,Chiều,5,5,2,2,20
51,BUS 328 - HNRS,GV_9,18,TF,12:30:00,14:30:00,Chiều,5,5,2,2,20
52,BUS 332 - 01,GV_26,4,TF,16:30:00,18:30:00,Chiều,65,10,2,2,40
53,BUS 332 - 02,GV_27,17,MR,14:30:00,16:30:00,Chiều,56,10,2,2,40
54,BUS 332 - HNRS,GV_10,20,MR,07:30:00,09:30:00,Sáng,5,10,2,2,40
55,BUS 345 - 01,GV_28,21,MR,12:30:00,14:30:00,Chiều,39,10,2,2,40
56,BUS 345 - 02,GV_29,17,TF,09:30:00,11:30:00,Sáng,31,10,2,2,40
57,BUS 357 - 01,GV_11,15,MR,14:30:00,16:30:00,Chiều,39,10,2,2,40
58,BUS 357 - HNRS,GV_11,20,MR,09:30:00,11:30:00,Sáng,5,10,2,2,40
59,BUS 359 - 01,GV_30,21,TF,14:30:00,16:30:00,Chiều,66,10,2,2,40
60,BUS 378 - 01,GV_31,21,TF,12:30:00,14:30:00,Chiều,72,10,2,2,40
61,BUS 381 - 01,GV_32,,,,,,11,10,0,0,0
62,BUS 381 - 01,GV_5,,,,,,11,10,0,0,0
63,BUS 381 - 01,GV_13,,,,,,11,10,0,0,0
64,BUS 381 - 01,GV_18,,,,,,11,10,0,0,0
65,BUS 381 - 01,GV_33,,,,,,11,10,0,0,0
66,BUS 381 - 01,GV_34,,,,,,11,10,0,0,0
67,BUS 381 - 01,GV_17,,,,,,11,10,0,0,0
68,BUS 381 - HNRS,GV_17,,,,,,1,10,0,0,0
69,BUS 450 - 01,GV_7,,,,,,72,10,0,0,0
70,BUS 496 - 01,GV_15,19,M,08:30:00,11:30:00,Sáng,58,10,1,3,30
71,BUS 496 - 01,GV_9,19,R,08:30:00,11:30:00,Sáng,58,10,1,3,30
72,BUS 496 - 02,GV_10,22,F,12:30:00,15:30:00,Chiều,52,10,1,3,30
73,BUS 496 - 02,GV_15,16,T,12:30:00,15:30:00,Chiều,52,10,1,3,30
74,COMS 101 - E1,GV_35,23,TF,12:30:00,14:30:00,Chiều,28,10,2,2,40
75,COMS 101 - V1,GV_36,24,S,12:30:00,16:30:00,Chiều,13,10,1,4,40
76,DSCI 261 - E1,GV_37,25,M,12:30:00,15:30:00,Chiều,12,10,1,3,30
77,DSCI 261 - E1,GV_37,25,R,12:30:00,15:30:00,Chiều,12,10,1,3,30
78,DSCI 363 - 01,GV_20,26,M,07:30:00,10:30:00,Sáng,4,10,1,3,30
79,DSCI 363 - 01,GV_20,26,R,07:30:00,10:30:00,Sáng,4,10,1,3,30
80,DSCI 462 - 01,GV_38,20,T,07:30:00,10:30:00,Sáng,3,10,1,3,30
81,DSCI 462 - 01,GV_38,27,F,07:30:00,10:30:00,Sáng,3,10,1,3,30
82,EBS 405 - 01,GV_39,28,TF,14:30:00,16:30:00,Chiều,31,3,2,2,12
83,EBS 405 - 01,GV_40,28,TF,14:30:00,16:30:00,Chiều,31,3,2,2,12
84,EBS 405 - 01,GV_41,28,TF,14:30:00,16:30:00,Chiều,31,4,2,2,16
85,ECO 204 - 01,GV_42,16,TF,09:30:00,11:30:00,Sáng,34,10,2,2,40
86,ECO 204 - 02,GV_43,17,TF,12:30:00,14:30:00,Chiều,38,10,2,2,40
87,ECO 205 - 01,GV_43,6,TF,14:30:00,16:30:00,Chiều,18,10,2,2,40
88,ECO 205 - 02,GV_44,17,TF,07:30:00,09:30:00,Sáng,38,10,2,2,40
89,ECO 352 - 01,GV_45,8,MR,09:30:00,11:30:00,Sáng,8,10,2,2,40
90,ECON 121 - 01,GV_46,29,TF,09:30:00,11:30:00,Sáng,8,10,2,2,40
91,ECON 221 - 01,GV_45,8,MR,07:30:00,09:30:00,Sáng,8,10,2,2,40
92,ECON 222 - 01,GV_47,,TF,07:30:00,09:30:00,Sáng,,10,2,2,40
93,ECON 224 - 01,GV_20,30,TF,09:30:00,11:30:00,Sáng,7,10,2,2,40
94,ECON 225 - 01,GV_46,,TF,12:30:00,14:30:00,Chiều,,10,2,2,40
95,ECON 231 - 01,GV_44,26,MR,12:30:00,14:30:00,Chiều,4,10,2,2,40
96,ECON 233 - 01,GV_38,18,MR,16:30:00,18:30:00,Chiều,2,10,2,2,40
97,ECON 241 - 01,GV_47,8,TF,14:30:00,16:30:00,Chiều,9,10,2,2,40
98,ECON 331 - 01,GV_48,,MR,14:30:00,16:30:00,Chiều,,10,2,2,40
99,ECON 332 - 01,GV_48,6,MR,16:30:00,18:30:00,Chiều,2,10,2,2,40
100,ECON 333 - 01,GV_49,18,W,09:30:00,11:30:00,Sáng,8,10,1,2,20
101,ECON 333 - 01,GV_49,18,W,07:30:00,09:30:00,Sáng,8,10,1,2,20
102,ECON 334 - 01,GV_50,,MR,09:30:00,11:30:00,Sáng,,10,2,2,40
103,ECON 335 - 01,GV_28,26,MR,14:30:00,16:30:00,Chiều,3,10,2,2,40
104,ECON 342 - 01,GV_51,,MR,12:30:00,14:30:00,Chiều,,10,2,2,40
105,ECON 343 - 01,GV_50,20,TF,12:30:00,14:30:00,Chiều,3,10,2,2,40
106,FIN 239 - E1,GV_40,10,MR,12:30:00,14:30:00,Chiều,8,10,2,2,40
107,FIN 443 - 01,GV_9,10,TF,07:30:00,09:30:00,Sáng,8,10,2,2,40
108,FIN 449 - 01,GV_21,8,MR,14:30:00,16:30:00,Chiều,9,5,2,2,20
109,FIN 449 - 01,GV_40,8,MR,14:30:00,16:30:00,Chiều,9,5,2,2,20
110,FIN 465 - 01,GV_21,19,TF,09:30:00,11:30:00,Sáng,15,10,2,2,40
111,HMGT 213 - 01,GV_52,15,TF,07:30:00,09:30:00,Sáng,20,10,2,2,40
112,HMGT 358 - 01,GV_18,20,TF,14:30:00,16:30:00,Chiều,4,10,2,2,40
113,HMGT 361 - 01,GV_52,15,TF,12:30:00,14:30:00,Chiều,7,10,2,2,40
114,HMGT 401 - 01,GV_12,18,TF,07:30:00,09:30:00,Sáng,7,10,2,2,40
115,HRM 351 - 01,GV_53,18,MR,12:30:00,14:30:00,Chiều,12,10,2,2,40
116,HRM 447 - 01,GV_53,18,MR,07:30:00,09:30:00,Sáng,6,10,2,2,40
117,HRM 471 - 01,GV_19,10,TF,09:30:00,11:30:00,Sáng,14,10,2,2,40
118,HRM 491 - 01,GV_41,31,TF,07:30:00,09:30:00,Sáng,9,10,2,2,40
119,HRM 493 - 01,GV_15,15,TF,09:30:00,11:30:00,Sáng,14,10,2,2,40
120,IEPS 100 - E1,GV_32,32,TF,09:30:00,11:30:00,Sáng,10,5,2,2,20
121,IEPS 100 - E1,GV_11,32,TF,09:30:00,11:30:00,Sáng,10,5,2,2,20
122,IEPS 360 - 01,GV_54,17,MR,07:30:00,09:30:00,Sáng,28,5,2,2,20
123,IEPS 360 - 01,GV_16,17,MR,07:30:00,09:30:00,Sáng,28,5,2,2,20
124,IEPS 361 - 01,GV_32,33,MR,09:30:00,11:30:00,Sáng,49,10,2,2,40
125,IEPS 371 - 01,GV_54,34,TF,12:30:00,14:30:00,Chiều,19,10,2,2,40
126,INFO 101 - E1,GV_55,11,MR,12:30:00,14:30:00,Chiều,27,5,2,2,20
127,INFO 101 - E1,GV_56,11,MR,12:30:00,14:30:00,Chiều,27,5,2,2,20
128,INFO 101 - E2,GV_57,11,F,09:30:00,11:30:00,Sáng,30,5,1,2,10
129,INFO 101 - E2,GV_55,11,F,09:30:00,11:30:00,Sáng,30,5,1,2,10
130,INFO 101 - E2,GV_57,7,T,09:30:00,11:30:00,Sáng,30,5,1,2,10
131,INFO 101 - E2,GV_55,7,T,09:30:00,11:30:00,Sáng,30,5,1,2,10
132,INFO 101 - E3,GV_56,2,TF,14:30:00,16:30:00,Chiều,16,5,2,2,20
133,INFO 101 - E3,GV_55,2,TF,14:30:00,16:30:00,Chiều,16,5,2,2,20
134,INFO 105 - 01,GV_55,2,W,08:30:00,11:30:00,Sáng,13,3,1,3,9
135,INFO 105 - 01,GV_58,2,W,08:30:00,11:30:00,Sáng,13,7,1,3,21
136,INFO 106 - E1,GV_59,27,TF,12:30:00,14:30:00,Chiều,29,2,2,2,8
137,INFO 106 - E1,GV_37,27,TF,12:30:00,14:30:00,Chiều,29,8,2,2,32
138,INFO 106 - E2,GV_59,27,MR,09:30:00,11:30:00,Sáng,30,2,2,2,8
139,INFO 106 - E2,GV_37,27,MR,09:30:00,11:30:00,Sáng,30,8,2,2,32
140,INFO 106 - E3,GV_59,27,TF,14:30:00,16:30:00,Chiều,30,2,2,2,8
141,INFO 106 - E3,GV_37,27,TF,14:30:00,16:30:00,Chiều,30,8,2,2,32
142,IREL 101 - E1,GV_60,20,MR,14:30:00,16:30:00,Chiều,8,10,2,2,40
143,LNGS-J101 - E1,GV_61,26,TF,12:30:00,14:30:00,Chiều,4,10,2,2,40
144,LNGS-J102 - E1,GV_61,26,TF,14:30:00,16:30:00,Chiều,6,10,2,2,40
145,LNGS-K101 - E1,GV_62,18,MR,09:30:00,11:30:00,Sáng,3,10,2,2,40
146,LNGS-K103 - E1,GV_62,6,TF,09:30:00,11:30:00,Sáng,14,10,2,2,40
147,MATH 105 - 01,GV_63,6,TF,07:30:00,09:30:00,Sáng,8,10,2,2,40
148,MGMT 216 - 01,GV_41,14,MR,07:30:00,09:30:00,Sáng,11,10,2,2,40
149,MGMT 291 - E1,GV_63,1,MR,07:30:00,09:30:00,Sáng,49,10,2,2,40
150,MGMT 440 - HNRS,GV_64,15,MR,12:30:00,14:30:00,Chiều,17,10,2,2,40
151,MIS 301 - 01,GV_65,35,R,09:30:00,11:30:00,Sáng,7,10,1,2,20
152,MIS 301 - 01,GV_57,35,M,09:30:00,11:30:00,Sáng,7,10,1,2,20
153,MIS 302 - 01,GV_55,3,F,12:30:00,14:30:00,Chiều,30,2,1,2,4
154,MIS 302 - 01,GV_55,7,T,12:30:00,14:30:00,Chiều,30,2,1,2,4
155,MIS 302 - 01,GV_49,7,T,12:30:00,14:30:00,Chiều,30,8,1,2,16
156,MIS 302 - 01,GV_49,3,F,12:30:00,14:30:00,Chiều,30,8,1,2,16
157,MIS 311 - 01,GV_57,19,MR,12:30:00,14:30:00,Chiều,29,10,2,2,40
158,MIS 315 - 01,GV_58,2,TF,09:30:00,11:30:00,Sáng,4,5,2,2,20
159,MIS 315 - 01,GV_14,2,TF,09:30:00,11:30:00,Sáng,4,5,2,2,20
160,MIS 354 - 01,GV_14,9,MR,14:30:00,16:30:00,Chiều,3,10,2,2,40
161,MIS 392 - 01,GV_58,7,T,14:30:00,16:30:00,Chiều,5,5,1,2,10
162,MIS 392 - 01,GV_57,7,T,14:30:00,16:30:00,Chiều,5,5,1,2,10
163,MIS 392 - 01,GV_58,35,F,14:30:00,16:30:00,Chiều,5,5,1,2,10
164,MIS 392 - 01,GV_57,35,F,14:30:00,16:30:00,Chiều,5,5,1,2,10
