schedule_id,day_code,iso_dow,day_name_vi
1,W,2,Thứ 4
2,M,0,Thứ 2
2,R,3,Thứ 5
3,R,3,Thứ 5
4,M,0,Thứ 2
5,T,1,Thứ 3
5,F,4,Thứ 6
6,T,1,Thứ 3
6,F,4,Thứ 6
7,T,1,Thứ 3
7,F,4,Thứ 6
8,T,1,Thứ 3
8,F,4,Thứ 6
9,T,1,Thứ 3
10,F,4,Thứ 6
11,M,0,Thứ 2
11,R,3,Thứ 5
12,R,3,Thứ 5
13,M,0,Thứ 2
14,M,0,Thứ 2
14,R,3,Thứ 5
15,M,0,Thứ 2
15,R,3,Thứ 5
16,M,0,Thứ 2
16,R,3,Thứ 5
17,T,1,Thứ 3
17,F,4,Thứ 6
18,F,4,Thứ 6
19,T,1,Thứ 3
20,T,1,Thứ 3
20,F,4,Thứ 6
21,T,1,Thứ 3
21,F,4,Thứ 6
22,M,0,Thứ 2
23,M,0,Thứ 2
23,R,3,Thứ 5
24,M,0,Thứ 2
24,R,3,Thứ 5
25,M,0,Thứ 2
25,R,3,Thứ 5
26,R,3,Thứ 5
27,M,0,Thứ 2
27,R,3,Thứ 5
28,M,0,Thứ 2
28,R,3,Thứ 5
29,M,0,Thứ 2
30,M,0,Thứ 2
31,R,3,Thứ 5
32,R,3,Thứ 5
33,M,0,Thứ 2
33,R,3,Thứ 5
34,R,3,Thứ 5
35,M,0,Thứ 2
36,M,0,Thứ 2
36,R,3,Thứ 5
37,M,0,Thứ 2
37,R,3,Thứ 5
38,M,0,Thứ 2
38,R,3,Thứ 5
39,M,0,Thứ 2
39,R,3,Thứ 5
40,W,2,Thứ 4
41,W,2,Thứ 4
42,W,2,Thứ 4
43,W,2,Thứ 4
44,M,0,Thứ 2
44,R,3,Thứ 5
45,M,0,Thứ 2
45,R,3,Thứ 5
46,M,0,Thứ 2
46,R,3,Thứ 5
47,T,1,Thứ 3
47,F,4,Thứ 6
48,M,0,Thứ 2
48,R,3,Thứ 5
49,T,1,Thứ 3
49,F,4,Thứ 6
50,T,1,Thứ 3
50,F,4,Thứ 6
51,T,1,Thứ 3
51,F,4,Thứ 6
52,T,1,Thứ 3
52,F,4,Thứ 6
53,M,0,Thứ 2
53,R,3,Thứ 5
54,M,0,Thứ 2
54,R,3,Thứ 5
55,M,0,Thứ 2
55,R,3,Thứ 5
56,T,1,Thứ 3
56,F,4,Thứ 6
57,M,0,Thứ 2
57,R,3,Thứ 5
58,M,0,Thứ 2
58,R,3,Thứ 5
59,T,1,Thứ 3
59,F,4,Thứ 6
60,T,1,Thứ 3
60,F,4,Thứ 6
70,M,0,Thứ 2
71,R,3,Thứ 5
72,F,4,Thứ 6
73,T,1,Thứ 3
74,T,1,Thứ 3
74,F,4,Thứ 6
75,S,5,Thứ 7
76,M,0,Thứ 2
77,R,3,Thứ 5
78,M,0,Thứ 2
79,R,3,Thứ 5
80,T,1,Thứ 3
81,F,4,Thứ 6
82,T,1,Thứ 3
82,F,4,Thứ 6
83,T,1,Thứ 3
83,F,4,Thứ 6
84,T,1,Thứ 3
84,F,4,Thứ 6
85,T,1,Thứ 3
85,F,4,Thứ 6
86,T,1,Thứ 3
86,F,4,Thứ 6
87,T,1,Thứ 3
87,F,4,Thứ 6
88,T,1,Thứ 3
88,F,4,Thứ 6
89,M,0,Thứ 2
89,R,3,Thứ 5
90,T,1,Thứ 3
90,F,4,Thứ 6
91,M,0,Thứ 2
91,R,3,Thứ 5
92,T,1,Thứ 3
92,F,4,Thứ 6
93,T,1,Thứ 3
93,F,4,Thứ 6
94,T,1,Thứ 3
94,F,4,Thứ 6
95,M,0,Thứ 2
95,R,3,Thứ 5
96,M,0,Thứ 2
96,R,3,Thứ 5
97,T,1,Thứ 3
97,F,4,Thứ 6
98,M,0,Thứ 2
98,R,3,Thứ 5
99,M,0,Thứ 2
99,R,3,Thứ 5
100,W,2,Thứ 4
101,W,2,Thứ 4
102,M,0,Thứ 2
102,R,3,Thứ 5
103,M,0,Thứ 2
103,R,3,Thứ 5
104,M,0,Thứ 2
104,R,3,Thứ 5
105,T,1,Thứ 3
105,F,4,Thứ 6
106,M,0,Thứ 2
106,R,3,Thứ 5
107,T,1,Thứ 3
107,F,4,Thứ 6
108,M,0,Thứ 2
108,R,3,Thứ 5
109,M,0,Thứ 2
109,R,3,Thứ 5
110,T,1,Thứ 3
110,F,4,Thứ 6
111,T,1,Thứ 3
111,F,4,Thứ 6
112,T,1,Thứ 3
112,F,4,Thứ 6
113,T,1,Thứ 3
113,F,4,Thứ 6
114,T,1,Thứ 3
114,F,4,Thứ 6
115,M,0,Thứ 2
115,R,3,Thứ 5
116,M,0,Thứ 2
116,R,3,Thứ 5
117,T,1,Thứ 3
117,F,4,Thứ 6
118,T,1,Thứ 3
118,F,4,Thứ 6
119,T,1,Thứ 3
119,F,4,Thứ 6
120,T,1,Thứ 3
120,F,4,Thứ 6
121,T,1,Thứ 3
121,F,4,Thứ 6
122,M,0,Thứ 2
122,R,3,Thứ 5
123,M,0,Thứ 2
123,R,3,Thứ 5
124,M,0,Thứ 2
124,R,3,Thứ 5
125,T,1,Thứ 3
125,F,4,Thứ 6
126,M,0,Thứ 2
126,R,3,Thứ 5
127,M,0,Thứ 2
127,R,3,Thứ 5
128,F,4,Thứ 6
129,F,4,Thứ 6
130,T,1,Thứ 3
131,T,1,Thứ 3
132,T,1,Thứ 3
132,F,4,Thứ 6
133,T,1,Thứ 3
133,F,4,Thứ 6
134,W,2,Thứ 4
135,W,2,Thứ 4
136,T,1,Thứ 3
136,F,4,Thứ 6
137,T,1,Thứ 3
137,F,4,Thứ 6
138,M,0,Thứ 2
138,R,3,Thứ 5
139,M,0,Thứ 2
139,R,3,Thứ 5
140,T,1,Thứ 3
140,F,4,Thứ 6
141,T,1,Thứ 3
141,F,4,Thứ 6
142,M,0,Thứ 2
142,R,3,Thứ 5
143,T,1,Thứ 3
143,F,4,Thứ 6
144,T,1,Thứ 3
144,F,4,Thứ 6
145,M,0,Thứ 2
145,R,3,Thứ 5
146,T,1,Thứ 3
146,F,4,Thứ 6
147,T,1,Thứ 3
147,F,4,Thứ 6
148,M,0,Thứ 2
148,R,3,Thứ 5
149,M,0,Thứ 2
149,R,3,Thứ 5
150,M,0,Thứ 2
150,R,3,Thứ 5
151,R,3,Thứ 5
152,M,0,Thứ 2
153,F,4,Thứ 6
154,T,1,Thứ 3
155,T,1,Thứ 3
156,F,4,Thứ 6
157,M,0,Thứ 2
157,R,3,Thứ 5
158,T,1,Thứ 3
158,F,4,Thứ 6
159,T,1,Thứ 3
159,F,4,Thứ 6
160,M,0,Thứ 2
160,R,3,Thứ 5
161,T,1,Thứ 3
162,T,1,Thứ 3
163,F,4,Thứ 6
164,F,4,Thứ 6
165,M,0,Thứ 2
165,R,3,Thứ 5
166,T,1,Thứ 3
166,F,4,Thứ 6
167,T,1,Thứ 3
167,F,4,Thứ 6
168,M,0,Thứ 2
168,R,3,Thứ 5
169,T,1,Thứ 3
169,F,4,Thứ 6
170,M,0,Thứ 2
170,R,3,Thứ 5
171,M,0,Thứ 2
171,R,3,Thứ 5
172,M,0,Thứ 2
172,R,3,Thứ 5
173,M,0,Thứ 2
173,R,3,Thứ 5
174,M,0,Thứ 2
174,R,3,Thứ 5
175,M,0,Thứ 2
175,R,3,Thứ 5
176,M,0,Thứ 2
176,R,3,Thứ 5
177,T,1,Thứ 3
177,F,4,Thứ 6
178,T,1,Thứ 3
178,F,4,Thứ 6
179,T,1,Thứ 3
179,F,4,Thứ 6
180,T,1,Thứ 3
180,F,4,Thứ 6
181,M,0,Thứ 2
181,R,3,Thứ 5
182,T,1,Thứ 3
182,F,4,Thứ 6
183,M,0,Thứ 2
183,R,3,Thứ 5
184,W,2,Thứ 4
184,S,5,Thứ 7
185,W,2,Thứ 4
185,S,5,Thứ 7
186,W,2,Thứ 4
186,S,5,Thứ 7
187,W,2,Thứ 4
187,S,5,Thứ 7
188,M,0,Thứ 2
188,R,3,Thứ 5
189,M,0,Thứ 2
189,R,3,Thứ 5
190,T,1,Thứ 3
190,F,4,Thứ 6
191,T,1,Thứ 3
191,F,4,Thứ 6
192,T,1,Thứ 3
192,F,4,Thứ 6
193,T,1,Thứ 3
193,F,4,Thứ 6
194,M,0,Thứ 2
194,R,3,Thứ 5
195,S,5,Thứ 7
196,M,0,Thứ 2
196,R,3,Thứ 5
197,T,1,Thứ 3
197,F,4,Thứ 6
198,T,1,Thứ 3
198,F,4,Thứ 6
199,M,0,Thứ 2
199,R,3,Thứ 5
200,T,1,Thứ 3
200,F,4,Thứ 6
201,T,1,Thứ 3
201,F,4,Thứ 6
202,T,1,Thứ 3
202,F,4,Thứ 6
203,M,0,Thứ 2
203,R,3,Thứ 5
204,M,0,Thứ 2
204,R,3,Thứ 5
205,T,1,Thứ 3
205,F,4,Thứ 6
206,M,0,Thứ 2
206,R,3,Thứ 5
207,T,1,Thứ 3
207,F,4,Thứ 6
208,T,1,Thứ 3
208,F,4,Thứ 6
209,T,1,Thứ 3
209,F,4,Thứ 6
210,T,1,Thứ 3
210,F,4,Thứ 6
211,M,0,Thứ 2
211,R,3,Thứ 5
212,M,0,Thứ 2
212,R,3,Thứ 5
213,T,1,Thứ 3
213,F,4,Thứ 6
214,T,1,Thứ 3
214,F,4,Thứ 6
215,T,1,Thứ 3
215,F,4,Thứ 6
216,M,0,Thứ 2
216,R,3,Thứ 5
